index,int8,hex,mV
9461,-1,ff,-0.015259
9462,-2,fe,-0.030519
9463,1,01,0.015259
9464,-1,ff,-0.015259
9465,-1,ff,-0.015259
9466,-1,ff,-0.015259
9467,-2,fe,-0.030519
9468,-2,fe,-0.030519
9469,-1,ff,-0.015259
9470,-1,ff,-0.015259
9471,0,00,0
9472,0,00,0
9473,0,00,0
9474,-1,ff,-0.015259
9475,-2,fe,-0.030519
9476,-1,ff,-0.015259
9477,-4,fc,-0.061037
9478,-1,ff,-0.015259
9479,-4,fc,-0.061037
9480,-4,fc,-0.061037
9481,-2,fe,-0.030519
9482,-3,fd,-0.045778
9483,-3,fd,-0.045778
9484,-3,fd,-0.045778
9485,-3,fd,-0.045778
9486,-1,ff,-0.015259
9487,-2,fe,-0.030519
9488,-1,ff,-0.015259
9489,-1,ff,-0.015259
9490,-1,ff,-0.015259
9491,0,00,0
9492,0,00,0
9493,2,02,0.030519
9494,0,00,0
9495,1,01,0.015259
9496,4,04,0.061037
9497,5,05,0.076296
9498,6,06,0.091556
9499,6,06,0.091556
9500,4,04,0.061037
9501,2,02,0.030519
9502,-3,fd,-0.045778
9503,-10,f6,-0.152593
9504,-17,ef,-0.259407
9505,-21,eb,-0.320444
9506,-19,ed,-0.289926
9507,-17,ef,-0.259407
9508,-8,f8,-0.122074
9509,-5,fb,-0.076296
9510,0,00,0
9511,5,05,0.076296
9512,6,06,0.091556
9513,7,07,0.106815
9514,7,07,0.106815
9515,6,06,0.091556
9516,5,05,0.076296
9517,2,02,0.030519
9518,1,01,0.015259
9519,1,01,0.015259
9520,0,00,0
9521,0,00,0
9522,-1,ff,-0.015259
9523,0,00,0
9524,0,00,0
9525,-2,fe,-0.030519
9526,-1,ff,-0.015259
9527,-2,fe,-0.030519
9528,-1,ff,-0.015259
9529,-1,ff,-0.015259
9530,-1,ff,-0.015259
9531,0,00,0
9532,-2,fe,-0.030519
9533,-1,ff,-0.015259
9534,-2,fe,-0.030519
9535,-2,fe,-0.030519
9536,0,00,0
9537,-2,fe,-0.030519
9538,0,00,0
9539,-1,ff,-0.015259
9540,0,00,0
9541,1,01,0.015259
9542,0,00,0
9543,0,00,0
9544,-1,ff,-0.015259
9545,-1,ff,-0.015259
9546,0,00,0
9547,-1,ff,-0.015259
9548,-2,fe,-0.030519
9549,-2,fe,-0.030519
9550,-3,fd,-0.045778
9551,-2,fe,-0.030519
9552,-4,fc,-0.061037
9553,-1,ff,-0.015259
9554,-4,fc,-0.061037
9555,-4,fc,-0.061037
9556,-3,fd,-0.045778
9557,-5,fb,-0.076296
9558,-6,fa,-0.091556
9559,-6,fa,-0.091556
9560,-7,f9,-0.106815
9561,-6,fa,-0.091556
9562,-8,f8,-0.122074
9563,-9,f7,-0.137333
9564,-8,f8,-0.122074
9565,-7,f9,-0.106815
9566,-4,fc,-0.061037
9567,-4,fc,-0.061037
9568,0,00,0
9569,-1,ff,-0.015259
9570,0,00,0
9571,0,00,0
9572,0,00,0
9573,0,00,0
9574,0,00,0
9575,0,00,0
9576,2,02,0.030519
9577,1,01,0.015259
9578,1,01,0.015259
9579,1,01,0.015259
9580,1,01,0.015259
9581,3,03,0.045778
9582,1,01,0.015259
9583,3,03,0.045778
9584,3,03,0.045778
9585,0,00,0
9586,1,01,0.015259
9587,-1,ff,-0.015259
9588,-1,ff,-0.015259
9589,-1,ff,-0.015259
9590,-1,ff,-0.015259
9591,0,00,0
9592,-1,ff,-0.015259
9593,-1,ff,-0.015259
9594,-1,ff,-0.015259
9595,-2,fe,-0.030519
9596,0,00,0
9597,-2,fe,-0.030519
9598,1,01,0.015259
9599,-1,ff,-0.015259
9600,-1,ff,-0.015259
9601,0,00,0
9602,-1,ff,-0.015259
9603,-1,ff,-0.015259
9604,-2,fe,-0.030519
9605,-2,fe,-0.030519
9606,0,00,0
9607,-2,fe,-0.030519
9608,-2,fe,-0.030519
9609,-2,fe,-0.030519
9610,-2,fe,-0.030519
9611,0,00,0
9612,-2,fe,-0.030519
9613,0,00,0
9614,-2,fe,-0.030519
9615,-1,ff,-0.015259
9616,0,00,0
9617,-1,ff,-0.015259
9618,-1,ff,-0.015259
9619,-2,fe,-0.030519
9620,-1,ff,-0.015259
9621,0,00,0
9622,-1,ff,-0.015259
9623,-2,fe,-0.030519
9624,-2,fe,-0.030519
9625,-2,fe,-0.030519
9626,0,00,0
9627,-2,fe,-0.030519
9628,0,00,0
9629,-2,fe,-0.030519
9630,-1,ff,-0.015259
9631,0,00,0
9632,-1,ff,-0.015259
9633,-1,ff,-0.015259
9634,-1,ff,-0.015259
9635,-1,ff,-0.015259
9636,0,00,0
9637,-2,fe,-0.030519
9638,-3,fd,-0.045778
9639,-3,fd,-0.045778
9640,-3,fd,-0.045778
9641,-1,ff,-0.015259
9642,-2,fe,-0.030519
